Sira,ulke,Toplam Alan km2,Karasal Alan km2,Su Alani km2, Su
0,Dunya,510.072.000,148.940.000,361.132.000,70.8
1,Rusya,17.098.242,16.377.742,720.5,4.21
2,Antarktika,14.000.000,14.000.000,0,0
2,Kanada,9.984.670,9.093.507,891.163,8.93
3,in,9.706.961,9.569.901,137.06,1.41
4,ABD,9.629.091,9.158.960,470.131,4.88
5,Brezilya,8.515.767,8.460.415,55.352,0.65
6,Avustralya,7.692.024,7.682.300,58.92,0.76
7,Hindistan,3.287.590,2.973.193,314.07,9.55
8,Arjantin,2.780.400,2.736.690,43.71,1.57
9,Kazakistan,2.724.900,2.699.700,25.2,0.92
10,Cezayir,2.381.741,2.381.741,0,0
11,Demokratik Kongo Cumhuriyeti,2.344.858,2.267.048,77.81,3.32
12,Gronland (Danimarka),2.166.086,2.166.086,0,0
13,Suudi Arabistan,2.149.690,2.149.690,0,0
14,Meksika,1.964.375,1.943.945,20.43,1.04
15,Endonezya,1.904.569,1.811.569,93,4.88
16,Sudan,1.861.484,1.765.050,96.434,5.18
17,Libya,1.759.540,1.759.540,0,0
18,iran,1.648.195,1.531.595,116.6,7.07
19,Mo?olistan,1.564.110,1.553.556,10.56,0.68
20,Peru,1.285.216,1.279.996,5.22,0.41
21,ad,1.284.000,1.259.200,24.8,1.93
22,Nijer,1.267.000,1.266.700,300,0.02
23,Angola,1.246.700,1.246.700,0,0
24,Mali,1.240.192,1.220.190,20.002,1.61
